Field,date,l1_category,l1_category_id,l2_category,l2_category_id,store_id,variant_id,variant_name,group_id,selling_price,mrp,in_stock,inventory,is_sponsored,image_url,brand_id,brand
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,107916,Raj Bhog by Haldiram's,661443,219,270,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/b123f5f2-9fb5-4b7d-a6ae-6526501ef3be.png,,Haldiram's
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,495496,Rajgira Laddu /Cholai Laddu/ Amaranth Laddu by Gulab,792524,84,95,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/92c453c2-1c02-4002-9dd3-6043a3da4ca0.png,,Gulab
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,504259,Farmley Date Bites Dry Fruit (No Added Sugar),2149505,349,400,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/359f7ef2-568f-4dd7-8922-44f878310e32.png,,Farmley
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,29650,318748,Chheda's Golden Mixture Namkeen,1911130,55,55,True,1,False,https://cdn.grofers.com/da/cms-assets/cms/product/6d016567-84bb-49b7-b46c-53fbca18e3a1.png,,Chheda's
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,29650,104887,Haldiram's Bhujia,1910541,60,60,True,17,False,https://cdn.grofers.com/da/cms-assets/cms/product/e610eb0f-dc97-4d37-bafe-b0a18550c3c7.png,,Haldiram's
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,29650,11142,Haldiram's Fatafat Bhelpuri,1914092,40,40,True,22,False,https://cdn.grofers.com/da/cms-assets/cms/product/87af206e-52d3-4f1d-a66c-40fb64803f7f.png,,Haldiram's
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,29650,608,Haldiram's Punjabi Tadka Namkeen Snacks,1914625,55,55,True,18,False,https://cdn.grofers.com/da/cms-assets/cms/product/6311692b-204d-4786-ab8c-3af729b039ac.png,,Haldiram's
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,29650,495431,Let's Try Lite Multigrain Mixture Namkeen,1914594,108,120,True,7,False,https://cdn.grofers.com/da/cms-assets/cms/product/5f7cfecb-5add-4369-97d5-f155f434b882.png,,Let's Try
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,29650,19274,Haldiram's Bhelpuri / Bhelpuri,1914143,55,55,True,18,False,https://cdn.grofers.com/da/cms-assets/cms/product/acb8bea9-c0b4-4064-a823-502cd11a0785.png,,Haldiram's
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,29650,446889,Bikano Bikaneri Bhujia,536038,60,60,True,5,False,https://cdn.grofers.com/da/cms-assets/cms/product/c5e8b992-2425-414d-bce6-2b54dc3511b6.png,,Bikano
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,29650,380252,Haldiram's Aloo Bhujia,1910352,265,265,True,3,False,https://cdn.grofers.com/da/cms-assets/cms/product/d7b61546-891b-4892-89de-00685d32708e.png,,Haldiram's
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,29650,559750,Protein Chef Madras Mixture Namkeen High Protein Healthy Snacks,1237744,98,99,True,3,False,https://cdn.grofers.com/da/cms-assets/cms/product/b3803d11-3482-4ac1-98a6-c51463b9cd28.png,,Protein Chef
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,29650,19297,Haldiram's Navratan Mixture Namkeen,1911693,100,100,True,16,False,https://cdn.grofers.com/da/cms-assets/cms/product/93435a5a-a565-4629-bfc9-9d517e7af6b9.png,,Haldiram's
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,29650,533325,Let's Try Sabudana Falhari Mixture,792528,77,100,True,11,False,https://cdn.grofers.com/da/cms-assets/cms/product/82729852-b540-42fe-aef4-633e97267de8.png,,Let's Try
